,artist,title,text
10,Bonnie Tyler , Total Eclipse Of The Heart,"(Turn around) Every now and then I get a little bit lonely And you're never coming 'round (Turn around) Every now and then I get a little bit tired Of listening to the sound of my tears (Turn around) Every now and then I get a little bit nervous That the best of all the years have gone by (Turn around) Every now and then I get a little bit terrified And then I see the look in your eyes (Turn around, bright eyes!) Every now and then I fall apart (Turn around, bright eyes!) Every now and then I fall apart (Turn around) Every now and then I get a little bit restless And I dream of something wild (Turn around) Every now and then I get a little bit helpless And I'm lying like a child in your arms (Turn around) Every now and then I get a little bit angry And I know I've got to get out and cry (Turn around) Every now and then I get a little bit terrified But then I see the look in your eyes(Turn around, bright eyes!) Every now and then I fall apart (Turn around, bright eyes!) Every now and then I fall apartAnd I need you now tonight And I need you more than ever And if you only hold me tight We'll be holding on forever And we'll only be making it right Cause we'll never be wrongTogether we can take it to the end of the line Your love is like a shadow on me all of the time I don't know what to do and I'm always in the dark We're living in a powder keg and giving off sparks I really need you tonight Forever's going to start tonight Forever's going to start tonightOnce upon a time I was falling in love Now I'm only falling apart There's nothing I can do A total eclipse of the heartOnce upon a time there was light in my life But now there's only love in the dark Nothing I can say A total eclipse of the heart(Turn around, bright eyes) (Turn around, bright eyes)Turn around, every now and then I know you'll never be the boy you always wanted to be Turn around, every now then I know you'll always be the only boy who wanted me the way that I am Turn around, every now and then I know there's no one in the universe as magical and wondrous as you Turn around, every now and then I know there's nothing any better And there's nothing that I just wouldn't do Turn around bright eyes, every now and then I fall apart Turn around bright eyes, every now and then I fall apartAnd I need you now tonight And I need you more than ever And if you only hold me tight We'll be holding on forever And we'll only be making it right Cause we'll never be wrongTogether we can take it to the end of the line Your love is like a shadow on me all of the time I don't know what to do and I'm always in the dark We're living in a powder keg and giving off sparksI really need you tonight Forever's going to start tonight Forever's going to start tonightOnce upon a time I was falling in love But now I'm only falling apart Nothing I can say A total eclipse of the heart A total eclipse of the heart A total eclipse of the heart Turn around bright eyes"
11,Alicia Keys , New York,"Oooooooh, New York! Oooooooh, New York!Grew up in a town that was famous as a place of movie scenes Noise is always loud, there are sirens all around and the streets are mean If I can make it here, I can make it anywhere that's what they say Seeing my face in lights or my name in marquees found down on BroadwayEven if it ain't all it seems I got a pocketful of dreams aby I'm from New York! Concrete jungle where dreams are made of There's nothing you can't do, now you're in New York! These streets will make you feel brand new Big lights will inspire you Hear it for New York, New York, New Yooork! On the avenue there ain't never a curfew ladies work so hardSuch a melting pot on the corner selling rock preachers pray to God Hail a gypsy cab takes me down from Harlem to the Brooklyn Bridge Someone sleeps tonight with a hunger far more than an empty fridge I'ma make it by any means, I got a pocketful of dreams baby I'm from New York!Concrete jungle where dreams are made of There's nothing you can't do now you're in New York! These streets will make you feel brand new Big lights will inspire you Hear it for New York, New York, New Yooork! One hand in the air for the big city Street lights big dreams all looking pretty No place in the world that can comparePut your lighters in the air everybody say Yeah! Yeah! Yeah! Yeah! In New York! Concrete jungle where dreams are made of There's nothing you can't do now you're in New York!These streets will make you feel brand new Big lights will inspire you Now you're in New York Concrete jungle where dreams are made of There's nothing you can't do now you're in New York These streets will make you feel brand new Big lights will inspire you Hear it for New Yooork"
12,Grease , You're The One That I Want,"I got chills, they're multiplying And I'm losing control 'Cause the power, you're supplying It's electrifyingYou better shape up, 'cause I need a man And my heart is set on you You better shape up, you better understand To my heart I must be true Nothing left, nothing left for me to doYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho, the one that I need Oh yes indeedIf you're filled with affection You're too shy to convey Meditate in my direction Feel your wayI better shape up, 'cause you need a man I need a man who can keep me satisfied I better shape up, if I'm gonna prove You better prove that my faith is justified Are you sure? Yes I'm sure down deep insideYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho, the one that I need Oh yes indeedYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho, the one that I need Oh yes indeedYou're the one that I want (You are the one I want) Ho, ho, ho honey You're the one that I want (You are the one I want) Ho, ho, ho honey You're the one that I want (You are the one I want) Ho, ho, ho, the one that I need Oh yes indeed You're the one that I want (You are the one I want) Ho, ho, ho honey You're the one that I want"
13,Adele , Someone Like You,"I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend, why are you so shy? Ain't like you to hold back or hide from the lightI hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that, for me, it isn't overNever mind, I'll find someone like you I wish nothing but the best for you two Don't forget me, I beg I'll remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead, yeahYou know how the time flies Only yesterday was the time of our lives We were born and raised in a summer haze Bound by the surprise of our glory daysI hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that, for me, it isn't overNever mind, I'll find someone like you I wish nothing but the best for you two Don't forget me, I beg I'll remember you said Sometimes it lasts in love, but sometimes it hurts insteadNothing compares, no worries or cares Regrets and mistakes, they're memories made Who would have known how bittersweet this would taste?Never mind, I'll find someone like you I wish nothing but the best for you Don't forget me, I beg I'll remember you said Sometimes it lasts in love, but sometimes it hurts insteadNever mind, I'll find someone like you I wish nothing but the best for you two Don't forget me, I beg I'll remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead, yeah, yeah"
14,Annie , Tomorrow,"The sun will come out Tomorrow Bet your bottom dollar That tomorrow There'll be sun!Just thinking about Tomorrow Clears away the cobwebs, And the sorrow 'Til there's none!When I'm stuck in a day That's gray, And lonely, I just stick out my chin And Grin, And Say, OhThe sun will come out Tomorrow So ya gotta hang on 'Til tomorrow Come what mayTomorrow! Tomorrow! I love ya Tomorrow!You're always a day awayWhen I'm stuck in a day That's gray, And lonely, I just stick out my chin And Grin, And Say, OhTomorrow! Tomorrow! I love ya Tomorrow!You're always A day A way!"
15,ARASH , Broken Angel,"I'm so lonely broken angel, I'm so lonely, listen to my heart.Man, dooset daram, Be cheshme man, gerye nade. Na, nemitoonam, Bedoone to, halam bade.I'm so lonely broken angel... I'm so lonely, listen to my heart... One n' lonley, broken angel... Come n' save me, before I fall apart...To harja ke bashi, kenaretam, Ta akharesh, divoonatam. To, to nemidooni, ke joonami, Bargard pisham.I'm so lonely broken angel, I'm so lonely, listen to my heart. One n' lonley, broken angel, Come n' save me, before I fall apart.La ... la ... leyli ... La ... la ... leyli ... La ... la ... la ... la ... laaa ... La ... la ... leyli ... La ... la ... leyli ... La ... la ... la ... la ... laaa ...Aaa ... aaa ... aaa ... aaa ...I'm so lonely broken angel, I'm so lonely, listen to my heart. One n' lonley, broken angel, Come n' save me, before I fall apart.I'm so lonely broken angel, I'm so lonely, listen to my heart. One n' lonley, broken angel, Come n' save me, before I fall apart.La ... la ... leyli ... La ... la ... leyli ... La ... la ... la ... la ... laaa ... La ... la ... leyli ... La ... la ... leyli ... La ... la ... la ... la ... laaa ... ♡♡♡"
16,Ed Sheeran , Shape of You,"The club isn't the best place to find a lover So the bar is where I go Me and my friends at the table doing shots Drinking fast, and then we talk slowAnd you come over and start up a conversation with just me And trust me, I'll give it a chance now Take my hand, stop Put ""Van the Man"" on the jukebox And then we start to dance And now I'm singing likeGirl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind meSay: ""Boy, let's not talk too much Grab on my waist and put that body on me"" Come on now, follow my lead Come, come on now, follow my leadI'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand newOh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Every day discovering something brand new I'm in love with the shape of youOne week in we let the story begin We're going out on our first date But you and me are thrifty So go all-you-can-eat Fill up your bag, and I fill up a plateWe talk for hours and hours about the sweet and the sour And how your family is doing okay And leave and get in a taxi, then kiss in the back seat Tell the driver make the radio play And now I'm singing likeGirl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind meSay: ""Boy, let's not talk too much Grab on my waist and put that body on me"" Come on now, follow my lead Come, come on now, follow my leadI'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand newOh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Every day discovering something brand new I'm in love with the shape of youCome on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come onI'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand newOh, I'm in love with your body Come on, be my baby, come on (Come on, be my baby, come on) I'm in love with your body Come on, be my baby, come on (Come on, be my baby, come on) Oh, I'm in love with your body Come on, be my baby, come on (Come on, be my baby, come on) I'm in love with your body Every day discovering something brand new I'm in love with the shape of you"
17,ABBA , Angel Eyes,"Ah-ha-ha, ah-aah Ah-ha-ha, ah-aah Ah-ha-ha Keep thinking 'bout his angel eyes I keep thinking, a-aahLast night I was taking a walk along the river And I saw him together with a young girl And the look that he gave her made me shiver 'Cause he always used to look at me that way Then I thought maybe I should walk right up to her And say, ""Ah-ha-ha, it's a game he likes to play""Look into his angel eyes One look and you're hypnotized He'll take your heart And you must pay the priceLook into his angel eyes You'll think you're in paradise And one day you'll find out he wears a disguise Don't look too deep into those angel eyes Oh, no, no, no, noAh-ha-ha, ah-aah Ah-ha-ha, ah-aah Ah-ha-ha Keep thinking 'bout his angel eyes I keep thinking, a-aahSometimes when I'm lonely I sit and think about him And it hurts to remember all the good times When I thought I could never live without him And I wonder does it have to be the same Every time when I see him, will it bring back all the pain? Ah-ha-ha, how can I forget that name?Look into his angel eyes One look and you're hypnotized He'll take your heart And you must pay the priceLook into his angel eyes You'll think you're in paradise And one day you'll find out he wears a disguise Don't look too deep into those angel eyesCrazy 'bout his angel eyes, angel eyes He took my heart and now I pay the price Look into his angel eyes You'll think you're in paradise Then one day you'll find out he wears a disguise Don't look too deep into those angel eyes Oh, no no, no, noAh-ha-ha, ah-aah Ah-ha-ha, ah-aah Ah-ha-ha, keep thinking, ah-aah Keep thinking 'bout his angel eyes Ah-ha-ha, keep thinking, ah-aah Keep thinking, I had to pay the priceKeep thinking, ah-aah Keep thinking 'bout his angel eyes Ah-ha-ha, keep thinking, ah-aah Keep thinking, I had to pay the price"
18,Disney , Refl,"Look at me, I may never pass for a perfect bride, or a perfect daughter. Can it be, I'm not meant to play this part? Now I see, that if I were truly to be myself, I would break my family's heart.Who is that girl I see, staring straight back at me? Why is my reflection someone I don't know? Somehow I cannot hide? Who I am, though I've tried. When will my reflection show, who I am, inside? How I pray, that a time will come, I can free myself, from their expectations On that day, I'll discover someway to be myself, and to make my family proud. They want a docile lamb, No-one knows who I am. Must there be a secret me, I'm forced to hide? Must I pretend that I am someone else for all time? When will my reflection show, who I am inside? When will my reflection show, who I am inside?"
19,EZRA Band , Walang Iba,"Ilang beses ng nag-away Hanggang sa magkasakitan Na 'di alam ang pinagmulanPati maliliit na bagay Na napag-uusapan Bigla na lang pinag-aawayanNgunit kahit na ganito Madalas na 'di tayo magkasundo Ikaw lang ang gusto kong makapiling Sa buong buhay koKahit na binabato mo ako ng kung anu-ano Ikaw pa rin ang gusto ko Kahit na sinasampal mo ako't Sinisipa't nasusugatan mo Ikaw pa rin Walang iba Ang gusto kong makasama Walang iba Walang ibaNagsimula sa mga asaran Hanggang sa magkainitan Isang eksenang bangayan na naman Ba't ba kase pinagpipilitan Ang hindi maintindihan Di naman kinakailanganNgunit kahit na ganito Madalas na di tayo magkasundo Ikaw lang ang gusto kong makapiling Sa buong buhay koKahit na binabato mo ako ng kung anu-ano Ikaw pa rin ang gusto ko Kahit na sinasampal mo ako't Sinisipa't nasusugatan mo Ikaw pa rin Walang iba Ang gusto kong makasama Walang ibaKahit na binabato mo ako ng kung anu-ano Ikaw pa rin ang gusto ko Kahit na sinasampal mo ako't Sinisipa't nasusugatan mo Ikaw pa rin Walang iba Ang gusto kong makasama Walang ibaWag ka ng mawawala Hmm, walang iba."
20,Indila , Dernière Danse,"Oh ma douce souffrance Pourquoi s'acharner? Tu recommences Je ne suis qu'un être sans importance Sans lui, je suis un peu paro Je déambule seule dans le metro Une dernière danse Pour oublier ma peine immense Je veux m'enfuir que tout recommence Oh ma douce souffranceJe remue le ciel, le jour, la nuit Je danse avec le vent, la pluie Un peu d'amour, un brin de miel Et je danse, danse, danse, danse, danse, danse, danse Et dans le bruit, je cours et j'ai peur Est-ce mon tour? Vient la douleur... Dans tout Paris, je m'abandonne Et je m'envole, vole, vole, vole, vole, vole, voleQue d'espérance Sur ce chemin en ton absence J'ai beau trimer, sans toi ma vie n'est qu'un décor qui brille, vide de sensJe remue le ciel, le jour, la nuit Je danse avec le vent, la pluie Un peu d'amour, un brin de miel Et je danse, danse, danse, danse, danse, danse, danse Et dans le bruit, je cours et j'ai peur Est-ce mon tour? Vient la douleur... Dans tout Paris, je m'abandonne Et je m'envole, vole, vole, vole, vole, vole voleDans cette douce souffrance Dont j'ai payé toutes les offenses Ecoute comme mon cœur est immense Je suis une enfant du mondeJe remue le ciel, le jour, la nuit Je danse avec le vent, la pluie Un peu d'amour, un brin de miel Et je danse, danse, danse, danse, danse, danse, danse Et dans le bruit, je cours et j'ai peur Est-ce mon tour? Vient la douleur... Dans tout Paris, je m'abandonne Et je m'envole, vole, vole, vole, vole, vole vole"
21,KAILASH KHER , Saiyyan,"Heere moti main na chaahoo Main toh chaaho sangam tera Main toh teri saiyyan Tu hai mera, saiyyan, saiyyanTu jo chhoo le pyaar se Aaraam se mar jau Aaja chanda bahoo mein Tujh mein hi gum ho jau Main tere naam mein kho jau Saiyyan... saiyyanMere din khushi se jhoome gaaye raate Pal pal mujhe dubaaye jaate jaate Tujhe jeet jeet haaroo yeh praan praan varoo Hay aise main nihaaroo teri aartee utaaroo Tere naam se jude hai saare naate, saiyyan, saiyyanBanke maala prem ki Tere tan pe jhar jhar jaaoo Baithoo naiya preet ki Sansaar se thar jaaoo Tere pyaar se tar jaaoo Saiyyan, saiyyanYeh naram naram nasha hai, badhtajaaye Koi pyaar se ghungatiya deta udaaye Ab baawra hua mann jag ho gaya hai roshan Yeh nayee nayee suhaagan ho gayee hia teri joganKoi prem ki pujaarun mandir sajaaye Saiyyan, saiyyan Heere moti main na chaahoo Main toh chaahoo samgam teraMain na jaanu, tu hi jaane Main toh teri, tu hai mera Main na jaanu, tu hi jaane Main toh teri, tu hai mera Main toh teri, tu hai mera"
